"DEPTH","PRES","TEMP","potemperature","CNDC","PSAL","sigma_t","sbox0Mm/Kg","ph","ph","flECO-AFL","CStarTr0","par","upoly0","gsw_saA0","gsw_ctA0","gsw_densityA0","gsw_sigma0A0","gsw_ptA0","flag"
"2.973","3.0","8.745","8.7447","3.0657","28.4895","22.0622","287.607","8.199","8.199","0.9536","91.4138","1531.7","3.1177306","28.6264","8.8414","1022.0795","22.0657","8.7447","0.0"
"3.967","4.0","8.7343","8.7339","3.064241","28.4824","22.0581","287.673","8.2","8.2","1.0268","91.4339","488.56","3.0262735","28.6195","8.8307","1022.0802","22.0619","8.7339","0.0"
"4.959","5.0","8.7345","8.734","3.064528","28.485","22.0601","286.639","8.2","8.2","1.2047","91.4659","326.77","3.0248821","28.6218","8.8307","1022.0867","22.0637","8.734","0.0"
"5.95","6.0","8.729","8.7284","3.066936","28.5112","22.0814","284.944","8.199","8.199","1.3041","91.5551","247.41","3.0388837","28.6507","8.8246","1022.1145","22.087","8.7284","0.0"
"6.939","7.0","8.7125","8.7118","3.072439","28.5832","22.1401","283.207","8.199","8.199","1.39","91.6938","187.93","3.0249581","28.7204","8.8068","1022.1757","22.1436","8.7118","0.0"
"7.934","8.0","8.7023","8.7015","3.077346","28.6393","22.1854","281.198","8.195","8.195","1.489","91.8058","142.56","3.1188412","28.779","8.7954","1022.2274","22.1907","8.7015","0.0"
"8.923","9.0","8.6873","8.6865","3.083466","28.7138","22.2458","278.449","8.194","8.194","1.3905","92.0731","109.21","3.0222697","28.8539","8.7791","1022.2925","22.2512","8.6865","0.0"
"9.917","10.0","8.6724","8.6715","3.089191","28.7866","22.3049","275.372","8.189","8.189","1.4106","92.2212","86.804","3.0248821","28.9249","8.7629","1022.3544","22.3086","8.6715","0.0"
"10.908","11.0","8.651","8.65","3.098642","28.8958","22.3934","273.624","8.18","8.18","1.2275","92.6029","69.396","3.0248821","29.0398","8.7394","1022.4516","22.4012","8.65","0.0"
"11.898","12.0","8.6191","8.6179","3.111315","29.0559","22.5232","272.494","8.173","8.173","1.1862","93.0316","54.865","3.0248821","29.197","8.7047","1022.5832","22.5282","8.6179","0.0"
"12.891","13.0","8.6059","8.6046","3.115407","29.1115","22.5686","271.869","8.169","8.169","1.1101","93.3329","44.318","3.0906749","29.25","8.6904","1022.6309","22.5713","8.6046","0.0"
"13.883","14.0","8.5985","8.5972","3.115587","29.1188","22.5754","271.137","8.166","8.166","1.0651","93.3178","36.844","3.0250573","29.2575","8.6828","1022.6423","22.5782","8.5972","0.0"
"14.874","15.0","8.5908","8.5894","3.115863","29.1274","22.5832","270.827","8.166","8.166","1.116","93.3678","30.735","3.0422382","29.2663","8.6748","1022.6549","22.5862","8.5894","0.0"
"15.865","16.0","8.5836","8.5821","3.116178","29.1361","22.591","270.874","8.163","8.163","1.1791","93.3909","25.731","3.1004128","29.2751","8.6674","1022.6674","22.5941","8.5821","0.0"
"16.858","17.0","8.5813","8.5797","3.116366","29.1393","22.5939","270.632","8.161","8.161","1.1992","93.3905","21.419","3.0243626","29.2785","8.6649","1022.675","22.5971","8.5797","0.0"
"17.849","18.0","8.5789","8.5772","3.116465","29.1418","22.5962","270.511","8.161","8.161","1.2003","93.4002","17.897","3.1675043","29.2811","8.6623","1022.6819","22.5995","8.5772","0.0"
"18.839","19.0","8.5773","8.5755","3.116656","29.1445","22.5985","270.289","8.161","8.161","1.1982","93.3956","14.854","3.023598","29.284","8.6606","1022.689","22.602","8.5755","0.0"
"19.833","20.0","8.5764","8.5745","3.116797","29.1462","22.5999","270.154","8.161","8.161","1.1145","93.4058","12.291","3.0248821","29.2858","8.6595","1022.6951","22.6035","8.5745","0.0"
"20.823","21.0","8.5751","8.5731","3.117002","29.1488","22.6022","269.763","8.161","8.161","1.0622","93.3479","10.137","3.0248821","29.2885","8.6581","1022.702","22.6059","8.5731","0.0"
"21.815","22.0","8.5741","8.572","3.117324","29.1524","22.6051","269.371","8.161","8.161","1.0689","93.3632","8.3681","3.0248821","29.2922","8.6569","1022.7097","22.6089","8.572","0.0"
"22.807","23.0","8.5687","8.5665","3.117713","29.1606","22.6123","268.314","8.161","8.161","1.027","93.3904","6.9924","3.0248821","29.3003","8.6512","1022.7213","22.616","8.5665","0.0"
"23.799","24.0","8.5589","8.5567","3.117954","29.1709","22.6218","266.997","8.16","8.16","0.9946","93.404","5.8553","3.0248821","29.3104","8.6412","1022.7352","22.6253","8.5567","0.0"
"24.787","25.0","8.5451","8.5427","3.118622","29.1887","22.6377","265.066","8.157","8.157","0.9618","93.3528","4.8812","3.1415403","29.3284","8.6268","1022.7557","22.6413","8.5427","0.0"
"25.782","26.0","8.5246","8.5221","3.119465","29.2144","22.6607","263.105","8.156","8.156","0.8816","93.4717","4.0831","3.0253162","29.3537","8.6057","1022.783","22.6639","8.5221","0.0"
"26.773","27.0","8.4984","8.4958","3.120499","29.2468","22.6898","261.566","8.151","8.151","0.7343","93.5269","3.4155","3.0339971","29.3858","8.5787","1022.8163","22.6927","8.4958","0.0"
"27.761","28.0","8.4811","8.4784","3.121368","29.2696","22.7101","260.554","8.147","8.147","0.6947","93.706","2.8503","3.0343196","29.4088","8.5609","1022.8413","22.713","8.4784","0.0"
"28.757","29.0","8.4623","8.4595","3.122233","29.2942","22.732","259.72","8.144","8.144","0.5493","93.8531","2.396","3.0253401","29.433","8.5414","1022.8674","22.7346","8.4595","0.0"
"29.747","30.0","8.4523","8.4494","3.122735","29.3072","22.7436","258.763","8.142","8.142","0.5179","93.9436","2.0064","3.034405","29.4462","8.531","1022.8837","22.7463","8.4494","0.0"
"30.737","31.0","8.4437","8.4408","3.12326","29.319","22.7541","258.215","8.141","8.141","0.5125","93.9928","1.6747","3.0246675","29.4583","8.5222","1022.899","22.757","8.4408","0.0"
"31.732","32.0","8.4316","8.4286","3.123704","29.3334","22.7671","257.987","8.138","8.138","0.4639","94.1893","1.4083","3.0248821","29.4727","8.5097","1022.9164","22.7699","8.4286","0.0"
"32.721","33.0","8.4249","8.4218","3.124035","29.3418","22.7746","257.589","8.137","8.137","0.4201","94.3225","1.1883","3.0248821","29.4813","8.5026","1022.9288","22.7776","8.4218","0.0"
"33.711","34.0","8.4172","8.414","3.124706","29.3545","22.7856","257.023","8.137","8.137","0.4356","94.3853","1.0045","3.0248821","29.4943","8.4947","1022.9446","22.7888","8.414","0.0"
"34.705","35.0","8.4132","8.4099","3.125047","29.3611","22.7914","256.294","8.137","8.137","0.3802","94.391","0.85139","3.0161664","29.5008","8.4904","1022.9548","22.7945","8.4099","0.0"
"35.697","36.0","8.4072","8.4037","3.12575","29.3724","22.8011","255.448","8.138","8.138","0.3622","94.3838","0.72077","3.0246608","29.5128","8.484","1022.9696","22.8047","8.4037","0.0"
"36.686","37.0","8.3889","8.3854","3.127952","29.41","22.8331","255.092","8.138","8.138","0.3477","94.4395","0.60881","3.0248821","29.5507","8.4649","1023.0063","22.8368","8.3854","0.0"
"37.679","38.0","8.384","8.3804","3.129452","29.4296","22.8491","255.08","8.138","8.138","0.301","94.3885","0.5139","3.0248821","29.5701","8.4596","1023.0267","22.8526","8.3804","0.0"
"38.67","39.0","8.3823","8.3786","3.130336","29.44","22.8575","254.777","8.138","8.138","0.2578","94.3719","0.43328","3.0248821","29.5803","8.4576","1023.0395","22.8608","8.3786","0.0"
"39.662","40.0","8.3822","8.3784","3.130804","29.4442","22.8608","254.41","8.138","8.138","0.2725","94.3071","0.36582","3.0248821","29.5848","8.4574","1023.0477","22.8644","8.3784","0.0"
"40.653","41.0","8.3822","8.3783","3.132169","29.4574","22.8712","254.023","8.138","8.138","0.2862","94.1795","0.3074","3.0248821","29.5987","8.4571","1023.063","22.8752","8.3783","0.0"
"41.644","42.0","8.3822","8.3782","3.133183","29.4677","22.8793","253.7","8.139","8.139","0.2583","93.9829","0.25869","3.0248821","29.6089","8.4568","1023.0756","22.8832","8.3782","0.0"
"42.636","43.0","8.3816","8.3775","3.134143","29.4777","22.8871","253.543","8.14","8.14","0.2727","93.8836","0.21702","3.0724971","29.619","8.456","1023.0881","22.8911","8.3775","0.0"
"43.628","44.0","8.3797","8.3756","3.134785","29.4857","22.8937","253.513","8.14","8.14","0.2568","93.5762","0.18079","3.0251575","29.6269","8.4539","1023.0991","22.8975","8.3756","0.0"
"44.618","45.0","8.3783","8.374","3.135686","29.4957","22.9017","253.457","8.14","8.14","0.2436","93.5352","0.14965","3.1607239","29.637","8.4522","1023.1118","22.9057","8.374","0.0"
"45.61","46.0","8.3777","8.3733","3.136257","29.5018","22.9066","253.103","8.142","8.142","0.2433","93.5031","0.12301","3.0253239","29.6431","8.4514","1023.1213","22.9106","8.3733","0.0"
"46.6","47.0","8.3781","8.3736","3.136565","29.5042","22.9084","252.946","8.142","8.142","0.2428","93.4787","0.099924","3.1363502","29.6456","8.4517","1023.1277","22.9124","8.3736","0.0"
"47.594","48.0","8.3774","8.3729","3.137145","29.5103","22.9133","252.795","8.142","8.142","0.2426","93.3796","0.081536","3.1689565","29.6518","8.4508","1023.1372","22.9173","8.3729","0.0"
"48.585","49.0","8.3768","8.3722","3.137402","29.5132","22.9156","252.478","8.142","8.142","0.2433","93.3059","0.065108","3.1807292","29.6546","8.45","1023.1441","22.9196","8.3722","0.0"
"49.575","50.0","8.375","8.3702","3.13776","29.518","22.9196","252.414","8.141","8.141","0.2432","93.03","0.051322","3.361985","29.6595","8.448","1023.1528","22.9237","8.3702","0.0"
"50.567","51.0","8.374","8.3692","3.137912","29.5201","22.9214","252.309","8.138","8.138","0.2422","92.9526","0.03962","3.3049932","29.6614","8.4469","1023.159","22.9254","8.3692","0.0"
"51.559","52.0","8.3741","8.3692","3.137954","29.52","22.9213","252.285","8.138","8.138","0.2426","92.9899","0.029699","3.393568","29.6614","8.4469","1023.1635","22.9254","8.3692","0.0"
"52.55","53.0","8.3741","8.3691","3.137992","29.5199","22.9213","252.073","8.138","8.138","0.2433","92.9662","0.022167","3.3629253","29.6614","8.4468","1023.1682","22.9254","8.3691","0.0"
"53.541","54.0","8.3734","8.3683","3.138205","29.5222","22.9232","252.143","8.138","8.138","0.2425","92.9301","0.014519","3.4008179","29.6639","8.446","1023.1747","22.9274","8.3682","0.0"
