"DEPTH","PRES","TEMP","potemperature","CNDC","PSAL","sigma_t","sbox0Mm/Kg","ph","ph","flECO-AFL","CStarTr0","par","upoly0","gsw_saA0","gsw_ctA0","gsw_densityA0","gsw_sigma0A0","gsw_ptA0","flag"
"2.976","3.0","8.918","8.9177","3.056767","28.2591","21.8572","293.129","8.218","8.218","1.0907","90.8698","1426.8","3.0715177","28.3955","9.0196","1021.875","21.8612","8.9177","0.0"
"3.963","4.0","8.9173","8.917","3.057645","28.2683","21.8644","293.093","8.218","8.218","1.0983","90.8141","550.75","3.0208373","28.4047","9.0186","1021.8868","21.8685","8.917","0.0"
"4.955","5.0","8.9187","8.9182","3.057559","28.2661","21.8625","292.649","8.215","8.215","1.2475","91.0714","335.01","3.1327562","28.4023","9.0199","1021.8893","21.8664","8.9182","0.0"
"5.946","6.0","8.9156","8.915","3.057747","28.2699","21.866","292.79","8.213","8.213","1.3802","91.2936","217.62","3.0208211","28.4062","9.0166","1021.8975","21.87","8.915","0.0"
"6.944","7.0","8.913","8.9123","3.058804","28.2818","21.8757","293.133","8.213","8.213","1.4461","91.3837","165.85","3.0248821","28.4187","9.0137","1021.9122","21.8801","8.9123","0.0"
"7.932","8.0","8.916","8.9153","3.058181","28.274","21.8691","292.98","8.213","8.213","1.4851","91.2778","122.97","3.0248821","28.4095","9.0168","1021.9091","21.8724","8.9153","0.0"
"8.926","9.0","8.9181","8.9173","3.057745","28.2666","21.863","292.665","8.213","8.213","1.4706","90.6781","94.511","3.0248821","28.4029","9.019","1021.9083","21.867","8.9173","0.0"
"9.916","10.0","8.9158","8.9148","3.058382","28.2747","21.8697","292.222","8.213","8.213","1.4792","90.8155","76.292","3.0248821","28.4109","9.0164","1021.9194","21.8736","8.9148","0.0"
"10.906","11.0","8.9125","8.9114","3.060534","28.2971","21.8877","291.688","8.213","8.213","1.4257","91.3485","60.996","3.0248821","28.4351","9.0126","1021.9434","21.893","8.9114","0.0"
"11.9","12.0","8.9089","8.9077","3.063945","28.336","21.9186","290.594","8.213","8.213","1.3856","91.7206","48.249","3.0248821","28.4726","9.0083","1021.9776","21.9227","8.9077","0.0"
"12.892","13.0","8.9045","8.9033","3.068596","28.3836","21.9564","289.564","8.212","8.212","1.4067","91.8278","39.032","3.0248821","28.5235","9.0029","1022.0224","21.9629","8.9033","0.0"
"13.881","14.0","8.8885","8.8872","3.080031","28.5133","22.0601","289.139","8.208","8.208","1.2744","92.6221","31.279","2.9324195","28.6534","8.9847","1022.1304","22.0663","8.8872","0.0"
"14.875","15.0","8.8718","8.8703","3.086492","28.5955","22.1268","288.721","8.206","8.206","1.2014","92.9411","25.686","2.9004872","28.7329","8.9664","1022.1993","22.1306","8.8703","0.0"
"15.864","16.0","8.8656","8.864","3.087736","28.6132","22.1415","288.287","8.203","8.203","1.1986","93.1277","21.413","2.7087231","28.7503","8.9597","1022.2183","22.1451","8.864","0.0"
"16.857","17.0","8.8634","8.8617","3.08798","28.6171","22.1449","287.542","8.203","8.203","1.2269","93.1729","17.934","2.8457386","28.7542","8.9574","1022.2263","22.1484","8.8617","0.0"
"17.848","18.0","8.8572","8.8554","3.08808","28.6227","22.1502","287.141","8.202","8.202","1.2127","93.3124","15.03","2.8343055","28.7598","8.9509","1022.2361","22.1537","8.8554","0.0"
"18.84","19.0","8.8473","8.8455","3.088281","28.6324","22.1592","286.736","8.199","8.199","1.1609","93.436","12.54","2.9407558","28.7694","8.9408","1022.2496","22.1626","8.8455","0.0"
